x,y,cell,longitude,latitude,hadsst_winter_cellmean,hadsst_spring_cellmean,hadsst_summer_cellmean,hadsst_fall_cellmean,lag_hadsst_summer_cellmean
-70.5,42.5,522,-70.61806,42.98434,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.618034491,42.9906409945,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6179281720951,42.9878221649485,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61738552525634,42.99165548756713,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.616975,42.992075,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61671000000001,42.992155,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61666500000001,42.99239,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6165910045,42.992212493,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.616525,42.975744,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.6163436755105,42.9737757731959,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61552,42.99315,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.613883985,42.99306904,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61269,42.99281,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61249000000001,42.99277,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61183,42.99472,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.611665966,42.992762011,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61122666666667,42.75982966666667,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61115000000001,42.9902,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.61094897800001,42.990348986499995,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.610795,42.990405,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.610375,42.98966,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.47183,42.3227,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.47157,42.31792,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.4707,42.31831,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.47036,42.322,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.46893,42.31937,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,43.5,492,-71.00862,43.01112,5.172302054829068,5.465064051988962,16.476074154312546,13.061376898138374,16.476074154312546
