latitude,longitude,min_year,max_year
49.30217,-67.69877,2019,2021
49.302189999999996,-67.68905749999999,2019,2021
49.302279999999996,-67.689005,2021,2021
49.30240333333333,-67.69227333333333,2019,2019
49.30252,-67.68902499999999,2019,2021
49.30265,-67.69881,2019,2021
49.781177,-64.357998,2022,2022
49.781426,-64.358808,2021,2021
49.781709,-64.342253,2022,2022
49.78244347444444,-64.34260562,2023,2023
49.782592,-64.337332,2021,2021
49.782619,-64.338588,2022,2022
49.783542,-64.399317,2022,2022
49.78368570111111,-64.39851098,2023,2023
49.792872,-64.339554,2022,2022
49.793191977777774,-64.34037565555556,2023,2023
49.793227,-64.359801,2022,2022
49.79538407555555,-64.35971825555556,2023,2023
49.91710299,-64.429945,2023,2023
49.917103,-64.429945,2021,2021
50.206348,-63.687117,2000,2002
50.206587,-63.589829,2000,2002
50.210766,-63.639106,2000,2002
